COUNTYNS,FREQUENCY,COUNT_COUN,TweetTotal,GdeltTotal,Tweets_GdeltSum,TweetSep1,TweetSep2,TweetSep3,TweetSep4,TweetSep5,TweetSep6,GdeltSep1,GdeltSep2,GdeltSep3,GdeltSep4,GdeltSep5,GdeltSep6
295755,1,1,722,697,1419,241,243,138,49,27,24,116,143,116,120,110,92
295761,1,1,658,215,873,191,270,136,37,14,9,45,58,49,14,18,31
295750,1,1,620,258,878,134,190,156,92,35,13,41,68,46,51,36,16
295753,1,1,574,93,667,155,228,120,35,18,18,12,23,22,12,12,12
1252740,1,1,430,215,645,35,74,46,90,130,55,6,20,34,38,66,51
1008581,1,1,398,0,398,37,70,50,64,104,72,0,0,0,0,0,0
295749,1,1,381,109,490,73,104,122,55,22,5,15,28,23,26,10,7
1247986,1,1,345,1,346,48,50,35,70,103,39,0,0,0,1,0,0
1248005,1,1,269,51,320,29,52,18,51,83,36,2,2,2,9,20,16
295757,1,1,229,55,284,73,78,46,13,14,5,6,12,12,8,11,6
306921,1,1,217,88,305,34,62,52,56,5,8,11,22,17,19,13,6
346824,1,1,200,0,200,50,49,45,21,24,11,0,0,0,0,0,0
1008592,1,1,189,74,263,18,25,20,30,72,24,8,8,8,5,27,18
293656,1,1,165,115,280,23,46,41,39,11,5,18,17,20,28,23,9
1026329,1,1,129,30,159,7,15,10,23,48,26,0,0,5,7,12,6
1694477,1,1,123,59,182,14,35,24,31,15,4,2,7,2,14,19,15
295745,1,1,121,22,143,31,34,33,10,9,4,4,2,9,4,2,1
1694833,1,1,115,63,178,26,25,34,12,14,4,7,8,16,13,11,8
1008570,1,1,112,40,152,14,28,17,19,22,12,3,8,12,7,2,8
308550,1,1,111,49,160,32,41,27,7,1,3,8,16,16,3,3,3
308372,1,1,107,34,141,34,32,35,5,1,0,6,2,13,6,3,4
303665,1,1,96,12,108,29,25,24,14,3,1,0,1,1,6,4,0
307624,1,1,95,48,143,19,25,30,20,1,0,8,18,9,5,6,2
1026337,1,1,84,52,136,4,7,7,7,19,40,1,3,11,4,14,19
306916,1,1,79,4,83,24,22,17,8,5,3,1,1,0,0,1,1
308547,1,1,79,21,100,14,13,16,32,3,1,1,4,4,2,7,3
295758,1,1,78,26,104,17,33,11,5,6,6,3,2,9,5,4,3
295747,1,1,75,12,87,18,23,20,11,3,0,1,4,1,2,1,3
308371,1,1,75,20,95,6,20,20,21,5,3,2,8,4,2,4,0
1248002,1,1,64,15,79,2,6,2,14,29,11,3,1,1,2,6,2
295748,1,1,63,17,80,17,20,13,12,1,0,2,9,3,0,1,2
1008550,1,1,61,23,84,2,5,6,6,26,16,3,0,3,7,5,5
1245489,1,1,60,8,68,8,10,15,8,17,2,0,0,0,3,3,2
1247984,1,1,57,46,103,5,16,9,14,11,2,5,10,13,4,10,4
1026340,1,1,55,26,81,5,4,10,8,15,13,2,1,1,5,8,9
295741,1,1,53,9,62,17,24,8,1,2,1,0,2,3,3,1,0
1026124,1,1,52,21,73,4,5,5,10,23,5,0,0,5,5,5,6
1026133,1,1,52,29,81,3,7,8,5,10,19,0,6,8,3,5,7
308551,1,1,50,8,58,9,17,12,6,5,1,0,3,3,1,0,1
1026123,1,1,48,6,54,5,6,1,4,17,15,0,1,1,2,1,1
1247998,1,1,43,4,47,2,8,7,7,12,7,2,1,1,0,0,0
1671513,1,1,42,14,56,3,10,7,15,4,3,1,4,5,2,1,1
1249299,1,1,41,5,46,0,11,6,6,13,5,0,0,2,1,2,0
1247985,1,1,40,3,43,3,11,3,2,17,4,0,1,0,1,1,0
1244251,1,1,38,4,42,6,7,1,7,13,4,2,0,0,0,2,0
295739,1,1,34,7,41,8,16,4,0,3,3,2,0,3,1,0,1
1248019,1,1,34,0,34,14,6,3,0,6,5,0,0,0,0,0,0
295726,1,1,33,6,39,7,5,7,9,4,1,0,0,3,2,0,1
1008558,1,1,28,3,31,4,3,3,5,5,8,0,0,1,1,0,1
295738,1,1,27,28,55,10,5,3,2,4,3,5,6,8,3,4,2
295744,1,1,27,8,35,3,9,9,3,1,2,3,2,1,2,0,0
308548,1,1,26,16,42,8,5,5,5,2,1,1,0,3,6,3,3
295730,1,1,25,8,33,2,7,6,9,1,0,1,3,2,0,0,2
1026129,1,1,25,8,33,2,2,2,5,8,6,2,1,1,0,2,2
1248015,1,1,25,0,25,10,4,2,2,6,1,0,0,0,0,0,0
295754,1,1,23,9,32,4,8,7,3,1,0,1,1,3,1,2,1
306922,1,1,18,19,37,5,4,2,6,0,1,1,0,3,5,6,4
1248001,1,1,18,3,21,4,0,1,3,9,1,0,0,1,1,1,0
1687424,1,1,18,4,22,5,7,5,1,0,0,2,1,0,0,0,1
1026341,1,1,17,10,27,0,2,2,1,11,1,0,0,1,0,5,4
295759,1,1,15,7,22,4,6,1,2,2,0,2,2,2,1,0,0
1686112,1,1,15,0,15,4,2,3,2,3,1,0,0,0,0,0,0
1008539,1,1,14,3,17,3,0,0,2,1,8,0,0,0,3,0,0
1008552,1,1,14,3,17,0,7,2,1,3,1,0,0,1,0,2,0
1008576,1,1,14,4,18,2,2,1,3,5,1,1,0,2,1,0,0
358024,1,1,13,7,20,2,0,2,4,4,1,0,0,4,2,1,0
1008590,1,1,12,0,12,1,4,5,0,1,1,0,0,0,0,0,0
1026327,1,1,12,1,13,0,2,6,0,3,1,0,0,0,0,0,1
1672039,1,1,12,2,14,0,3,1,4,4,0,0,2,0,0,0,0
295737,1,1,11,3,14,2,7,1,1,0,0,0,0,0,0,1,2
1008565,1,1,10,4,14,1,1,2,3,3,0,0,0,0,4,0,0
1008578,1,1,10,8,18,0,1,2,3,4,0,0,1,1,3,1,2
295756,1,1,9,4,13,2,4,2,0,1,0,1,1,1,0,1,0
306915,1,1,9,5,14,4,3,1,0,1,0,1,0,0,4,0,0
346568,1,1,8,7,15,0,3,5,0,0,0,0,3,2,1,1,0
1008538,1,1,8,5,13,1,3,2,0,2,0,0,0,2,3,0,0
1008540,1,1,8,2,10,1,3,1,1,2,0,0,0,1,1,0,0
295751,1,1,7,0,7,4,1,2,0,0,0,0,0,0,0,0,0
