IN_FID,NEAR_FID,NEAR_DIST,NEAR_DIST_KILOMETERS,NEAR_RANK,FROM_X,FROM_Y,NEAR_X,NEAR_Y,NEAR_ANGLE,FID_,scores_uni,scores_eng,country,city,y,x,spatial_re,id,tweet_id,text_,created_at,user_id,user_id_1,user_name,screen_nam,source
0,1287,95230.08913510000,95.23008913510,16,-75.70000000000,35.10000000000,-76.64590300040,34.73965949970,-114.54937020300,1287,0.03006897400,0.04811366600,United States,Beaufort,34.73965950000,-76.64590300000,city bounding box centroid,440106,1170000000000000000.00000000000,"Watching #dorianhurricane from NC coast, lots of uncertainty: ?Ç£Scenarios involving a direct hit, a graze and a near?Çª https://t.co/UANyBRhIJp",9/1/2019,143829408.00000000000,0,?£¿?á????StarCat?á?????£¿,StarCatChris,Twitter for iPhone
0,1324,95230.08913510000,95.23008913510,16,-75.70000000000,35.10000000000,-76.64590300040,34.73965949970,-114.54937020300,1324,0.12588928900,0.26734400300,United States,Beaufort,34.73965950000,-76.64590300000,city bounding box centroid,490525,1170000000000000000.00000000000,@AuntSam2u @MadSCWT We?ÇÖre watching #Dorian closely here on the central North Carolina coast (Beaufort). Stay safe a?Çª https://t.co/etuuzlltk4,9/1/2019,4854578937.00000000000,0,Partha Howell / Sgt. Mckenzie / Cpl. Norman,ParthaHowell,Twitter for iPhone
0,1661,102099.60205500000,102.09960205500,24,-75.70000000000,35.10000000000,-75.66810950040,36.01985450020,1.61346162225,1661,0.03265991000,0.04447883200,United States,Kill Devil Hills,36.01985450000,-75.66810950000,city bounding box centroid,712863,1170000000000000000.00000000000,#Dorian wind speeds now 175 mph,9/1/2019,347242147.00000000000,0,Lane Casadonte,LaneCtvsports,Twitter for iPhone
0,1480,105875.96034400000,105.87596034400,31,-75.70000000000,35.10000000000,-76.85356900010,34.99597199980,-95.92648485830,1480,0.05780718300,0.13802619000,United States,Camp Seafarer,34.99597200000,-76.85356900000,city bounding box centroid,663475,1170000000000000000.00000000000,Beautiful sunset at @Camp_SeaGull before #HurricaneDorian2019. I could feel the winds picking up while ?¢? https://t.co/VhHNfhPCNE,9/1/2019,172844203.00000000000,0,Karen Ellen,kescoggs,Twitter for Android
0,877,111591.22437000000,111.59122437000,39,-75.70000000000,35.10000000000,-75.71497000030,36.10568999970,-0.69214679200,877,0.02547159800,0.03239875500,United States,Southern Shores,36.10569000000,-75.71497000000,exact coordinates,719091,1170000000000000000.00000000000,"Our #OBX Hurricane #dorian preparation kit.  Lots of maple bacon loveliness rompmyworld_716 @ Southern Shores, Nort?Çª https://t.co/ED4VrBWXXC",9/1/2019,0.00000000000,246905967,David Speier,Waxmbordz,
0,880,111591.22437000000,111.59122437000,39,-75.70000000000,35.10000000000,-75.71497000030,36.10568999970,-0.69214679200,880,0.02547159800,0.03239875500,United States,Southern Shores,36.10569000000,-75.71497000000,exact coordinates,964855,1170000000000000000.00000000000,"Special thanks to monicaquebral for the wave riding fuel. Pre #hurricanedorian wave chasing. @ Southern Shores, Nor?Çª https://t.co/zsRDIOSwsS",9/1/2019,0.00000000000,246905967,David Speier,Waxmbordz,
0,1302,112087.31699600000,112.08731699600,41,-75.70000000000,35.10000000000,-76.82427349990,34.69645800030,-113.21854307600,1302,0.05780718300,0.15881746400,United States,Pine Knoll Shores,34.69645800000,-76.82427350000,city bounding box centroid,457371,1170000000000000000.00000000000,The calm before the storm (or hurricane) #HurricaneDorian2019 https://t.co/MrkailBD0X,9/1/2019,46028225.00000000000,0,Michael Weisel,mweisel,Twitter for iPhone
0,2303,113340.56075900000,113.34056075900,43,-75.70000000000,35.10000000000,-76.87670100030,34.77623700020,-108.13806218200,2303,0.23688377700,0.13802619000,,National Weather Service (NOAA),34.77623700000,-76.87670100000,city bounding box centroid,940130,1170000000000000000.00000000000,The 4 PM #hurricane call on #Dorian with @NHC_Atlantic. https://t.co/l1neoINyVH,9/1/2019,835787268.00000000000,0,NWS Newport/Morehead,NWSMoreheadCity,Twitter for iPhone
0,1936,115123.32644800000,115.12332644800,46,-75.70000000000,35.10000000000,-76.95330799960,34.98034649960,-96.26121463200,1936,0.05333128100,0.11116719100,United States,Neuse Forest,34.98034650000,-76.95330800000,city bounding box centroid,800290,1170000000000000000.00000000000,"Critical point, IMO, for #Dorian is Freeport there.
Where it is, how fast/where it?ÇÖs moving, is it over Grand Baham?Çª https://t.co/ywjspyfjZg",9/1/2019,26362666.00000000000,0,Kevin D. Gr??ssing (Pronounced Grew-Sing),KevDGrussing,Tweetbot for i?ƒS
0,2016,115123.32644800000,115.12332644800,46,-75.70000000000,35.10000000000,-76.95330799960,34.98034649960,-96.26121463200,2016,0.05333128100,0.11116719100,United States,Neuse Forest,34.98034650000,-76.95330800000,city bounding box centroid,829092,1170000000000000000.00000000000,"Frame this landfall notice, one for the books...
#Dorian",9/1/2019,26362666.00000000000,0,Kevin D. Gr??ssing (Pronounced Grew-Sing),KevDGrussing,Tweetbot for i?ƒS
